exercise_name,sets,reps,duration,rest,pattern
kneeling windmill stretch,3,1,30s,5s,right then left
strap hamstring stretch,3,1,30s,5s,right then left
figure 4 ER stretch (pushing),3,1,30s,5s,right then left
figure 4 supine stretch (pulling),3,1,30s,5s,right then left
bed hip flexor stretch,3,1,30s,5s,right then left
blocked flexed dead bug,2,5,10s,30s,alternating reps
bridge,2,10,10s,30s,bilateral
